#Atividades da Europa - ID_pais; ID_cidade; ID_atividade;nome ;preço_atividade:


1;1;1;Praça Skanderbeg;0.0
1;1;2;Museu Histórico Nacional;5.0
1;1;3;Pirâmide de Tirana;0.0
1;2;4;Anfiteatro de Durrës;4.0
1;2;5;Castelo de Durrës;0.0
1;2;6;Museu Arqueológico;3.0
1;3;7;Castelo de Kaninë;2.0
1;3;8;Museu da Independência;3.5
1;3;9;Mosteiro de Zvërnec;0.0
1;4;10;Castelo de Rozafa;5.0
1;4;11;Museu Marubi;7.0
1;4;12;Mesquita de Chumbo;0.0
2;5;13;Porta de Brandemburgo;0.0
2;5;14;Muro de Berlim;0.0
2;5;15;Museu Pergamon;12.0
2;6;16;Marienplatz;0.0
2;6;17;Museu BMW;10.0
2;6;18;Jardim Inglês;0.0
2;7;19;Miniatur Wunderland;20.0
2;7;20;Porto de Hamburgo;0.0
2;7;21;Filarmónica do Elba;15.0
2;8;22;Römerberg;0.0
2;8;23;Casa de Goethe;7.0
2;8;24;Main Tower;9.0
3;9;25;Casa de la Vall;5.0
3;9;26;Igreja de Sant Esteve;0.0
3;9;27;Centro Histórico;0.0
3;10;28;Lago de Engolasters;0.0
3;10;29;Igreja de Santa Eulàlia;0.0
3;10;30;Funicular de Encamp;10.0
3;11;31;Miradouro Roc del Quer;0.0
3;11;32;Pal de Glace;15.0
3;11;33;Igreja de Sant Joan;0.0
3;12;34;Vallnord Bike Park;30.0
3;12;35;Igreja de Sant Iscle;0.0
3;12;36;Museu Casa Rull;5.0
4;13;37;Palácio de Schönbrunn;18.0
4;13;38;Catedral de Santo Estêvão;0.0
4;13;39;Ópera de Viena;25.0
4;14;40;Fortaleza Hohensalzburg;12.0
4;14;41;Casa de Mozart;11.0
4;14;42;Palácio Mirabell;0.0
4;15;43;Telhado de Ouro;5.0
4;15;44;Palácio Imperial;9.0
4;15;45;Teleférico Nordkette;35.0
4;16;46;Schlossberg;0.0
4;16;47;Kunsthaus Graz;10.0
4;16;48;Eggenberg Palace;15.0
5;17;49;Grand Place;0.0
5;17;50;Atomium;16.0
5;17;51;Manneken Pis;0.0
5;18;52;Catedral de Antuérpia;6.0
5;18;53;Museu MAS;10.0
5;18;54;Zoológico de Antuérpia;25.0
5;19;55;Castelo de Gravensteen;12.0
5;19;56;Torre de Belfry;8.0
5;19;57;Cais Graslei;0.0
5;20;58;Canais de Bruges;15.0
5;20;59;Praça do Mercado;0.0
5;20;60;Museu do Chocolate;10.0
6;21;61;Biblioteca Nacional;0.0
6;21;62;Praça da Vitória;0.0
6;21;63;Museu da Grande Guerra;10.0
6;22;64;Fortaleza de Brest;5.0
6;22;65;Museu do Caminho de Ferro;3.0
6;22;66;Rua Sovetskaya;0.0
6;23;67;Palácio de Rumyantsev;8.0
6;23;68;Parque Central;0.0
6;23;69;Circo de Gomel;15.0
6;24;70;Antigo Castelo;6.0
6;24;71;Igreja de Kalozha;0.0
6;24;72;Parque Zhilibera;0.0
7;25;73;Baščaršija (Bazar);0.0
7;25;74;Túnel da Esperança;10.0
7;25;75;Ponte Latina;0.0
7;26;76;Ponte Velha (Stari Most);0.0
7;26;77;Casa de Muslibegović;4.0
7;26;78;Bazar Antigo;0.0
7;27;79;Fortaleza de Kastel;0.0
7;27;80;Catedral de Cristo Rei;0.0
7;27;81;Museu de Arte Moderna;5.0
7;28;82;Lagos de Panonica;5.0
7;28;83;Praça da Liberdade;0.0
7;28;84;Mesquita de Jala;0.0
8;29;85;Catedral Alexander Nevsky;0.0
