#Cidades Europeias - ID_pais; ID_cidade; Cidade; preço_cidade:

1;1;Tirana;55
1;2;Durrës;45
1;3;Vlorë;50
1;4;Shkodër;40
2;5;Berlim;145
2;6;Munique;165
2;7;Hamburgo;150
2;8;Frankfurt;140
3;9;Andorra-a-Velha;115
3;10;Encamp;95
3;11;Canillo;100
3;12;La Massana;95
4;13;Viena;155
4;14;Salzburgo;145
4;15;Innsbruck;150
4;16;Graz;120
5;17;Bruxelas;135
5;18;Antuérpia;125
5;19;Gante;120
5;20;Bruges;145
6;21;Minsk;45
6;22;Brest;35
6;23;Gomel;30
6;24;Grodno;35
7;25;Sarajevo;50
7;26;Mostar;45
7;27;Banja Luka;40
7;28;Tuzla;35
8;29;Sófia;60
8;30;Plovdiv;50
8;31;Varna;65
8;32;Burgas;55
9;33;Praga;115
9;34;Brno;85
9;35;Ostrava;70
9;36;Plzeň;75
10;37;Nicósia;95
10;38;Limassol;125
10;39;Lárnaca;105
10;40;Pafos;110
11;41;Zagrebe;95
11;42;Split;145
11;43;Dubrovnik;185
11;44;Zadar;115
12;45;Copenhaga;215
12;46;Aarhus;175
12;47;Odense;155
12;48;Aalborg;145
13;49;Bratislava;90
13;50;Kosice;70
13;51;Presov;60
13;52;Zilina;65
14;53;Liubliana;115
14;54;Maribor;85
14;55;Celje;75
14;56;Kranj;75
15;57;Madrid;145
15;58;Barcelona;165
15;59;Sevilha;125
15;60;Valência;130
16;61;Tallinn;100
16;62;Tartu;80
16;63;Narva;60
16;64;Pärnu;85
17;65;Helsínquia;165
17;66;Espoo;145
17;67;Tampere;135
17;68;Vantaa;130
18;69;Paris;225
18;70;Lyon;145
18;71;Marselha;135
18;72;Bordéus;150
19;73;Atenas;115
19;74;Tessalónica;95
19;75;Patras;85
19;76;Heraklion;105
20;77;Budapeste;100
20;78;Debrecen;70
20;79;Szeged;65
20;80;Miskolc;60
21;81;Dublim;195
21;82;Cork;155
21;83;Limerick;135
21;84;Galway;165
22;85;Reiquiavique;245
22;86;Akureyri;185
22;87;Keflavík;155
22;88;Hafnarfjörður;175
23;89;Roma;165
23;90;Milão;185
23;91;Florença;175
23;92;Veneza;215
24;93;Pristina;45
24;94;Prizren;40
24;95;Peja;35
24;96;Gjakova;35
25;97;Riga;85
25;98;Daugavpils;55
25;99;Liepāja;65
25;100;Jelgava;55
26;101;Vaduz;225
26;102;Schaan;195
26;103;Triesen;185
26;104;Balzers;175
27;105;Vilnius;90
27;106;Kaunas;70
27;107;Klaipėda;75
27;108;Šiauliai;60
28;109;Luxemburgo;200
28;110;Esch-sur-Alzette;145
28;111;Differdange;135
28;112;Dudelange;135
29;113;Skopje;45
29;114;Bitola;35
29;115;Kumanovo;30
29;116;Ohrid;55
30;117;Valeta;145
30;118;Birkirkara;105
30;119;Sliema;135
30;120;Mosta;100
31;121;Chisinau;50
31;122;Tiraspol;35
31;123;Balti;30
31;124;Bender;30
32;125;Mónaco;360
32;126;Monte Carlo;430
32;127;La Condamine;320
32;128;Fontvieille;340
33;129;Podgorica;55
33;130;Nikšic;40
33;131;Budva;115
33;132;Kotor;125
34;133;Oslo;195
34;134;Bergen;175
34;135;Trondheim;155
34;136;Stavanger;165
35;137;Amesterdão;215
35;138;Roterdão;145
35;139;Haia;140
35;140;Utreque;150
36;141;Varsóvia;95
36;142;Cracóvia;90
36;143;Lodz;70
36;144;Wroclaw;80
37;145;Lisboa;150
37;146;Porto;135
37;147;Coimbra;95
37;148;Braga;100
38;149;Londres;235
38;150;Edimburgo;175
38;151;Manchester;140
38;152;Liverpool;130
39;153;Bucareste;80
39;154;Cluj-Napoca;85
39;155;Timisoara;70
39;156;Iasi;65
40;157;Moscovo;95
40;158;São Petersburgo;80
40;159;Novosibirsk;50
40;160;Ecaterimburgo;55
41;161;San Marino;115
41;162;Dogana;90
41;163;Borgo Maggiore;95
41;164;Serravalle;90
42;165;Belgrado;75
42;166;Novi Sad;60
42;167;Nis;50
42;168;Kragujevac;45
43;169;Estocolmo;175
43;170;Gotemburgo;150
43;171;Malmö;135
43;172;Uppsala;130
44;173;Berna;215
44;174;Zurique;265
44;175;Genebra;255
44;176;Basileia;225
45;177;Kiev;40
45;178;Lviv;35
45;179;Odessa;35
45;180;Kharkiv;30
46;181;Cidade do Vaticano;185
